ticker,ff12,ff12_source,classification_confidence
AXR,11,legacy_symbols_with_sector,
AXS,11,legacy_symbols_with_sector,
AXSM,10,legacy_symbols_with_sector,
AXTA,5,legacy_symbols_with_sector,
AXTI,6,legacy_symbols_with_sector,
AYI,2,legacy_symbols_with_sector,
AYTU,10,legacy_symbols_with_sector,
AZ,3,legacy_symbols_with_sector,
AZN,10,legacy_symbols_with_sector,
AZO,9,legacy_symbols_with_sector,
AZTA,3,legacy_symbols_with_sector,
AZZ,3,legacy_symbols_with_sector,
B,12,legacy_symbols_with_sector,
BA,3,legacy_symbols_with_sector,
BABA,12,legacy_symbols_with_sector,
BAC,11,legacy_symbols_with_sector,
BAER,12,legacy_symbols_with_sector,
BAERW,12,legacy_symbols_with_sector,
BAFN,11,legacy_symbols_with_sector,
BAH,12,legacy_symbols_with_sector,
BAK,5,legacy_symbols_with_sector,
BALL,3,legacy_symbols_with_sector,
BALY,12,legacy_symbols_with_sector,
BAM,11,legacy_symbols_with_sector,
BANC,11,legacy_symbols_with_sector,
BAND,6,legacy_symbols_with_sector,
BANF,11,legacy_symbols_with_sector,
BANFP,11,legacy_symbols_with_sector,
BANR,11,legacy_symbols_with_sector,
BANX,12,legacy_symbols_with_sector,
BAOS,12,legacy_symbols_with_sector,
BAP,11,legacy_symbols_with_sector,
BARK,9,legacy_symbols_with_sector,
BATL,4,legacy_symbols_with_sector,
BATRA,12,legacy_symbols_with_sector,
BATRK,12,legacy_symbols_with_sector,
BAX,10,legacy_symbols_with_sector,
BB,6,legacy_symbols_with_sector,
BBAI,6,legacy_symbols_with_sector,
BBAR,11,legacy_symbols_with_sector,
BBBY,9,legacy_symbols_with_sector,
BBCP,12,legacy_symbols_with_sector,
BBD,11,legacy_symbols_with_sector,
BBDC,12,legacy_symbols_with_sector,
BBDO,11,legacy_symbols_with_sector,
BBGI,7,legacy_symbols_with_sector,
BBIO,10,legacy_symbols_with_sector,
BBLG,10,legacy_symbols_with_sector,
BBLGW,10,legacy_symbols_with_sector,
BBSI,12,legacy_symbols_with_sector,
BBT,11,legacy_symbols_with_sector,
BBU,12,legacy_symbols_with_sector,
BBUC,12,legacy_symbols_with_sector,
BBVA,11,legacy_symbols_with_sector,
BBW,9,legacy_symbols_with_sector,
BBWI,9,legacy_symbols_with_sector,
BBY,9,legacy_symbols_with_sector,
BC,3,legacy_symbols_with_sector,
BCAB,10,legacy_symbols_with_sector,
BCAL,11,legacy_symbols_with_sector,
BCAT,12,legacy_symbols_with_sector,
