ticker,cik,sic,ff12,ff48,ff49,ff_label,ff12_source,classification_confidence,classification_issue,secondary_sector,secondary_industry,secondary_source,secondary_reason,sic_desc
ALVO,1898416,2836.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ALVOW,,,10,-1,-1,Hlth,legacy_backtest,high,,,,,,
ALX,3499,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
ALXO,1810182,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
ALYAF,,,6,-1,-1,BusEq,legacy_backtest,high,,,,,,
ALZN,1677077,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AM,1623925,4922.0,8,-1,-1,Utils,sic_mapping,high,,,,,,
AMAL,1823608,6022.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AMAT,6951,3674.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AMBA,1280263,3674.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AMBO,1494558,8200.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AMBP,1845097,3411.0,3,-1,-1,Manuf,sic_mapping,high,,,,,,
AMBR,1697818,6199.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AMC,1411579,7830.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AMCI,1937891,5700.0,9,-1,-1,Shops,sic_mapping,high,,,,,,
AMCR,1748790,3990.0,2,-1,-1,Durbl,sic_mapping,high,,,,,,
AMCX,1514991,4841.0,7,-1,-1,Telcm,sic_mapping,high,,,,,,
AMD,2488,3674.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AME,1037868,3823.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AMG,1004434,6282.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AMGN,318154,2836.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AMH,1562401,6798.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AMIX,1617867,3841.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AMJB,19617,6021.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AMKR,1047127,3674.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AMLX,1658551,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AMN,1142750,7363.0,12,-1,-1,Other,sic_unmapped_other,medium,unmapped_sic,,,,,
AMOD,1862463,6794.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AMODW,,,11,-1,-1,Money,legacy_backtest,high,,,,,,
AMP,820027,6282.0,11,-1,-1,Money,sic_mapping,high,,,,,,
AMPG,1518461,3669.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AMPH,1297184,2834.0,10,-1,-1,Hlth,sic_mapping,high,,,,,,
AMPL,1866692,7372.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
AMPX,1899287,3690.0,6,-1,-1,BusEq,sic_mapping,high,,,,,,
